,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Emerald,-23.5333,148.1667,84.34,45,40,19.57,AU,1636699212
1,Torbay,47.6666,-52.7314,39.27,86,90,34.52,CA,1636699212
2,Hobart,-42.8794,147.3294,52.11,89,75,1.99,AU,1636699213
3,Rikitea,-23.1203,-134.9692,74.16,71,42,6.8,PF,1636699213
4,Mercedes,-34.6515,-59.4307,61.86,82,5,8.68,AR,1636699214
5,Yellowknife,62.456,-114.3525,31.41,90,75,14.97,CA,1636699214
6,Saint George,37.1041,-113.5841,54.19,50,1,1.99,US,1636699167
7,East London,-33.0153,27.9116,70.74,78,40,6.91,ZA,1636699215
8,Monforte de Lemos,42.5216,-7.5142,46.56,91,12,0.6,ES,1636699215
9,Port Lincoln,-34.7333,135.8667,57.99,58,100,17.96,AU,1636698971
10,Flinders,-34.5833,150.8552,65.21,90,47,1.01,AU,1636699216
11,Hermanus,-34.4187,19.2345,71.91,72,8,5.1,ZA,1636699216
12,Ushuaia,-54.8,-68.3,47.86,53,0,0.0,AR,1636699217
13,Arraial do Cabo,-22.9661,-42.0278,67.84,79,100,13.44,BR,1636699217
14,Nyrob,60.733,56.7202,32.54,94,100,10.49,RU,1636699218
15,Fort Frances,48.5999,-93.4003,30.42,67,90,16.11,CA,1636698989
16,Dauriya,49.9333,116.8667,35.74,44,100,10.13,RU,1636699218
17,Bambous Virieux,-20.3428,57.7575,82.65,65,20,13.8,MU,1636699219
18,Saint-Philippe,-21.3585,55.7679,83.48,74,13,5.77,RE,1636699219
19,Salalah,17.0151,54.0924,89.69,23,0,6.91,OM,1636699219
20,Krasnoyarskiy,51.965,59.8967,26.65,77,100,18.77,RU,1636699220
21,Yeppoon,-23.1333,150.7333,78.58,88,100,13.0,AU,1636699220
22,Erenhot,43.6475,111.9767,33.57,61,5,13.8,CN,1636699221
23,Shizunai-furukawachō,42.3339,142.3669,49.84,64,94,10.69,JP,1636699221
24,Karpogory,64.0019,44.4451,33.3,95,100,8.66,RU,1636699222
25,Waipawa,-41.4122,175.5153,63.23,72,100,21.61,NZ,1636699222
26,Vao,-22.6667,167.4833,75.34,80,100,10.94,NC,1636699223
27,Atuona,-9.8,-139.0333,77.76,76,2,9.95,PF,1636699223
28,Longyearbyen,78.2186,15.6401,6.64,72,40,3.44,SJ,1636699223
29,Sarkand,45.41,79.9186,48.13,54,0,1.43,KZ,1636699224
30,Nemuro,43.3236,145.575,54.03,77,100,13.4,JP,1636699224
31,George Town,5.4112,100.3354,82.33,86,40,1.01,MY,1636699157
32,Cherskiy,68.75,161.3,16.43,96,100,3.94,RU,1636699225
33,Purranque,-40.9167,-73.1667,52.93,96,74,0.63,CL,1636699225
34,Half Moon Bay,37.4636,-122.4286,63.63,84,1,0.0,US,1636699226
35,Mataura,-46.1927,168.8643,60.67,66,51,5.14,NZ,1636699228
36,Busselton,-33.65,115.3333,72.09,40,5,9.53,AU,1636699228
37,Ixtapa,20.7,-105.2,71.26,93,3,2.71,MX,1636699229
38,Caravelas,-17.7125,-39.2481,73.06,91,99,0.78,BR,1636699229
39,Juneau,58.3019,-134.4197,37.45,93,90,4.61,US,1636699230
40,Vila Velha,-20.3297,-40.2925,66.15,96,90,5.99,BR,1636699230
41,Nikolskoye,59.7035,30.7861,41.88,92,100,11.03,RU,1636699231
42,Castro,-24.7911,-50.0119,54.39,93,93,8.01,BR,1636699231
43,Saldanha,-33.0117,17.9442,66.25,77,12,15.88,ZA,1636699232
44,Morros,-9.4467,-46.3003,71.85,83,18,1.77,BR,1636699232
45,Ayan,56.45,138.1667,28.49,87,100,13.65,RU,1636699232
46,Livramento,-3.0254,-60.1803,75.88,94,20,3.44,BR,1636699233
47,Kisanga,-7.4362,37.7034,88.45,48,3,7.65,TZ,1636699233
48,Provideniya,64.3833,-173.3,11.23,91,69,2.46,RU,1636699234
49,Saint Anthony,45.0205,-93.218,36.55,91,90,1.99,US,1636699234
50,Dongobesh,-4.0667,35.3833,72.54,35,69,11.88,TZ,1636699235
